66140,7aKokTj18vNI3FyasytThE,The Party Cats,Para pedir dulces,This Is Halloween,1,196666,FALSE,0.589,0.468,0,-7.58,0,0.0519,0.741,0,0.109,0.443,167.589,4,kids
21899,5ipsq9FrLYv2qsnyTKwnEK,Ken Vybz,Dans ma ville,Dans ma ville,27,176842,TRUE,0.7,0.562,6,-9.427,0,0.514,0.677,0,0.167,0.23,126.847,5,dancehall
41910,0MeV7qXq0uiTFss0NJpLcD,Ex-Voto,Anno Domini,If I Never,21,268280,FALSE,0.545,0.833,9,-11.767,0,0.0414,0.000112,0.761,0.135,0.754,119.971,4,goth
69222,1ClqkDtMvG9hnLHOnyaKUS,Rzee,Weplavam (Reach World Wide Anthem),Weplavam (Reach World Wide Anthem),35,212093,FALSE,0.728,0.623,1,-6.358,0,0.206,0.112,6.20E-06,0.0816,0.493,85.958,4,malay
89412,5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,Pepas,86,287120,TRUE,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98E-05,0.128,0.442,130.001,4,reggaeton
8037,7mspMgbrDiYlTaEMI7jNaO,Otis Redding,R'n'B Studying,I've Been Loving You Too Long,0,175653,FALSE,0.508,0.535,9,-5.632,1,0.0272,0.565,0.000388,0.196,0.162,74.682,3,blues
69366,3pZTuRkErhmr8Uumd8uc79,Sudhanesh;Sri Vithya,Venpa,Oru Murai,36,332914,FALSE,0.522,0.609,7,-6.885,0,0.0446,0.16,1.28E-06,0.166,0.337,135.011,4,malay
107607,03FPFGGmCFCFX9X7vNB3JW,FM-84;Ollie Wride,Atlas,Wild Ones,43,268536,FALSE,0.542,0.504,4,-9.314,1,0.0367,0.0337,0,0.152,0.127,114.004,4,synth-pop
68077,1oF3cqTJws6BixRDsyz0HU,J Balvin,Frescura y Perreo,Tu Veneno,3,157320,FALSE,0.664,0.659,10,-4.232,0,0.0873,0.0625,0.00024,0.0874,0.797,175.826,4,latino
88176,47960GBapFd2ZJU6LbtwZz,KAROL G;Nicki Minaj,Homecoming Latin Party,Tusa,0,201920,FALSE,0.796,0.701,2,-3.275,1,0.283,0.308,7.82E-05,0.0516,0.619,100.954,4,reggae
109125,39U2Ryd4imSGCEOou6hy4W,Colyn,Oxygen Levels Low EP,Oxygen Levels Low,46,446280,FALSE,0.803,0.811,7,-6.268,1,0.0467,0.0207,0.832,0.114,0.156,125.006,4,techno
42318,7ATBarxFbBZFTTnidRdxLq,Agoraphobic Nosebleed,And On and On...,As Bad As It Is...,14,133320,FALSE,0.177,0.995,1,-3.353,1,0.213,3.78E-06,0.0271,0.505,0.0388,99.116,4,grindcore
84229,1tdltVUBkiBCW1C3yB4zyD,The Beatles,Yellow Submarine Songtrack,Yellow Submarine,61,159160,FALSE,0.616,0.636,1,-7.055,1,0.0325,0.208,0,0.517,0.654,110.618,4,psych-rock
47553,0NNep3grWO95CVGp04gMM4,Joe Satriani,Surfing With The Alien,"Always with Me, Always with You",52,202533,FALSE,0.575,0.295,11,-12.584,1,0.0326,0.484,0.703,0.0639,0.394,144.366,3,hard-rock
60674,7u9QRyQahQvFbB7cxziaZy,Mavado,Belt Buckle,Belt Buckle,20,172800,TRUE,0.516,0.69,8,-7.137,1,0.411,0.126,0,0.108,0.438,71.305,3,j-dance
75043,3OGC0n3jV8RsxOKEjlHhGc,Brian Crain;Johannes Bornlöf,Stress Free Music,Song for Sienna,0,224550,FALSE,0.256,0.0652,7,-26.663,1,0.0378,0.99,0.929,0.0816,0.307,185.015,4,new-age
72605,7gDvwGORGBR48kpSXbvK6o,Dead by April,Dead by April,Carry Me,37,228746,FALSE,0.347,0.821,7,-4.925,1,0.0411,0.00344,0,0.391,0.257,75.022,4,metalcore
98033,2aFtSIczoIRRD5BrKngCF4,Andrew Lloyd Webber;The Phantom Of The Opera 1986 Studio Orchestra,Halloween Hits,"The Phantom Of The Opera: Overture - Music From ""The Phantom Of The Opera""",1,133000,FALSE,0.355,0.328,6,-16.721,1,0.0377,0.0137,0.474,0.529,0.214,120.411,4,show-tunes
90296,3c7IzA9guoQQTeciBaCzAF,Los Brios,30 Anos De Exitos,Silueta De Cristal,37,221066,FALSE,0.585,0.532,9,-7.6,1,0.0272,0.116,0,0.0998,0.561,147.747,4,rock-n-roll
3107,7M62cpl1L8v53XwfCZ2GYD,Skillet,Rock - Best of 2022,Surviving the Game,4,238870,FALSE,0.535,0.979,8,-3.593,1,0.0597,0.000666,0,0.084,0.432,103.996,4,alternative
45282,7he38NZUICh6T2dP5CpbAJ,Little Symphony,Serenity,Zephyr,27,83809,FALSE,0.185,0.119,0,-23.618,1,0.0527,0.811,0.853,0.118,0.346,129.282,4,guitar
73327,32nw9Qc5rYjsPWGLy14Yh5,Enrico Sangiuliano,Astral Projection,Astral Projection,47,483960,FALSE,0.798,0.738,6,-8.357,0,0.0606,0.0182,0.941,0.11,0.325,124.981,4,minimal-techno
6729,0Y32zGpqjKqDVZNelcqILu,Sólstafir,Svartir Sandar,Stormfari,17,217533,FALSE,0.265,0.932,5,-2.794,1,0.123,0.0302,0.434,0.112,0.175,75.024,4,black-metal
22530,6gNA5ZR3lhbggxgGDN6fka,Spite,Spite (Deluxe Edition),Burn,23,250799,FALSE,0.332,0.936,9,-2.34,1,0.0514,3.36E-05,0.275,0.389,0.484,92.557,4,death-metal
100245,2nfLyJIa0B1Lf5K87Xewzc,Lasse Stefanz,Evergreen,Evergreen,39,212453,FALSE,0.546,0.711,11,-6.392,1,0.0283,0.0765,0.00358,0.151,0.482,96.987,4,ska
85394,08r5VYVdopPXFZvCkh5urw,Attaque 77,El Cielo Puede Esperar,Donde las Aguilas Se Atreven,41,248040,FALSE,0.574,0.477,2,-18.054,1,0.0302,0.00393,7.03E-05,0.222,0.923,145.703,4,punk-rock
74726,0ch2Kak83EQfELghu7ATRR,Kid Abelha,Acústico (Live),Maio - Ao Vivo,41,177093,FALSE,0.648,0.791,7,-7.734,1,0.0299,0.559,3.14E-06,0.892,0.699,124.029,4,mpb
2169,3KKmCToTNy7Mnvkd9k0vVR,KALEO,Timeless Rock Hits,Way Down We Go,1,213706,FALSE,0.492,0.506,10,-8.022,0,0.118,0.58,0.00032,0.104,0.338,163.522,4,alt-rock
66662,4AkEnbSGjxOzdg0l2PEU7J,Have Fun Teaching,Alphabet Songs,Letter U Song,10,216373,FALSE,0.974,0.527,1,-4.672,0,0.0913,0.0153,0,0.0895,0.922,127.01,4,kids
91584,6dt2cKnkL79xajOcCutBUn,The Beach Boys,Rock n Roll Christmas,Little Saint Nick - 1991 Remix,0,118840,FALSE,0.602,0.553,11,-9.336,1,0.0328,0.108,0,0.0512,0.971,130.594,4,rock
63992,6HniH9hqshcK6b9lXqhxbx,The Green,Ways & Means,Love Is Strong,32,217426,FALSE,0.827,0.559,9,-6.252,0,0.0612,0.0452,3.65E-06,0.0532,0.751,143.982,4,j-rock
